# 全國親子館(托育資源中心)名冊 — 釘住的擷取結果
#
# 來源機關   衛生福利部社會及家庭署
# 文件名稱   全國親子館(托育資源中心)名冊(115.06)
# 版本       115.06
# 來源網址   https://www.sfaa.gov.tw/sfaa/list/detail/5eC/5Ea
# 擷取日期   2026-08-28
# 擷取方式   下載上述頁面提供的 PDF，以 PDF 表格擷取器讀出 5 頁的表格，
#            逐列取出 7 個儲存格後寫成本檔。詳見 scripts/buildFamilyCentres.cjs
#            開頭關於「為什麼把擷取結果進版控」的說明。
# 資料筆數   234
#
# 欄位       項次	縣市	區域	名稱	地址	電話	成立時間
#
# 刻意保留的原始樣貌（由 buildFamilyCentres.cjs 負責正規化，本檔不動）：
#   1. 縣市只出現在該縣市第一列，其餘留空。PDF 的表格用 rowspan 合併縣市欄，
#      跨頁時會重複一次（項次 50、154、207），這裡照抄不合併。
#   2. 原始 PDF 把 rowspan 的縣市儲存格丟到列尾，只有澎湖縣（項次 217，該縣
#      僅一列）留在第 2 欄。那是擷取器的欄位錯位，不是資料，所以本檔已還原成
#      固定欄序；rowspan 造成的留空則保留。
#   3. 項次 192 的區域欄寫「北斗鄉」，地址寫「北斗鎮」。北斗是鎮
#      （https://www.chcg.gov.tw/TSO/beidou/），來源的區域欄有誤，照抄不改。
#   4. 電話與地址夾雜 PDF 換行造成的空白，含項次 168 地址裡的 U+00A0。
#      照抄不改，交給建置腳本清掉。
#   5. 項次 25 名稱含「台」（三重台北橋公共托育中心），是專有名詞，照抄不改。
項次	縣市	區域	名稱	地址	電話	成立時間
52		五股區	五股成泰公共托育中心	新北市五股區芳洲八路79號	02-22935585	107.03.02
53		汐止區	汐止智興公共托育中心	新北市汐止區忠孝東路3號	02-26473119	107.05.14
54		永和區	永和網溪公共托育中心	新北市永和區竹林路79號	02-89281199	107.07.06
55		土城區	土城樂利公共托育中心	新北市土城區裕生路65號	02-22640666	107.08.10
56		新莊區	新莊裕民國小公共托育中心	新北市新莊區裕民街123號之1	02-29066321	107.09.07
57		土城區	土城興城公共托育中心	新北市土城區興城路17號	02-22737350	107.10.15
58		新莊區	新豐公共托育中心	新北市新莊區樹新路226號3樓	02-22075665	107.11.07
59		瑞芳區	瑞芳公共托育中心	新北市瑞芳區明燈路3段2號2樓	02-24975781	107.12.24
60		深坑區	深坑公共托育中心	新北市深坑區北深路2段136巷5號	02-26620663	108.02.01
61		新莊區	新莊思賢公共托育中心	新北市新莊區自立街229號2-3樓	02-29918718	108.05.06
62		新莊區	新莊豐年公共托育中心	新北市新莊區瓊泰路116號1-2樓	02-22068698	108.05.06
63		林口區	林口湖北公共托育中心	新北市林口區湖北里後湖17-6號2樓	02-26010605	108.07.31
64	臺北市	松山區	臺北市松山親子館	臺北市松山區民生東路5段163-1號3樓	02-27661266	101.08.08
65		中山區	臺北市中山親子館	臺北市中山區玉門街1號	02-25980657	102.02.20
66		北投區	臺北市北投親子館	臺北市北投區光明路22號1-2樓	02-28983217	102.02.27
67		大同區	臺北市大同親子館	臺北市大同區涼州街2-16號1-2樓	02-25571403	102.04.22
68		文山區	臺北市文山親子館	臺北市木柵路1段177號2樓	02-22365186	102.07.29
69		士林區	臺北市士林親子館	臺北市士林區基河路130號1樓	02-28830262	103.02.06
70		內湖區	臺北市內湖親子館	臺北市內湖區內湖路1段659號2樓	02-77097990	103.02.11
71		萬華區	臺北市萬華親子館	臺北市萬華區水源路199號2樓	02-23047468	103.04.01
72		南港區	臺北市南港親子館	臺北市南港區南港路1段287巷2弄15號1樓	02-26510558	103.04.09
73		大安區	臺北市大安親子館	臺北市大安區延吉街246巷10號1-3樓	02-23254399	103.08.08
74		信義區	臺北市信義親子館	臺北市信義區松勤街50號1樓	02-27202555	103.08.30
75		中正區	臺北市中正親子館	臺北市中正區仁愛路1段17號3樓	02-23516730	103.09.13
76		信義區	臺北市廣慈親子館	臺北市信義區大道路116-3號	02-27599796	112.06.01
77	桃園市	大園區	桃園市大園親子館	桃園市大園區和平東路89號3樓	03-3863316	101.08.29
78		八德區	桃園市八德親子館	桃園市八德區福國北街220號2樓	03-3766220	101.08.29
79		中壢區	桃園市中壢親子館	桃園市中壢區元化路159號4樓	03-4251620	104.02.02
80		桃園區	桃園市桃園親子館	桃園市桃園區三民路一段200號	03-3398607	104.11.27
81		新屋區	桃園市新屋親子館	桃園市新屋區中山路269號3、4樓	03-4971720	107.03.22
82		中壢區	桃園市中壢五權親子館	桃園市中壢區正大街55號	03-4911788	107.05.29
83		平鎮區	桃園市平鎮親子館	桃園市平鎮區廣成街10號4樓	03-4921366	107.06.05
84		觀音區	桃園市觀音親子館	桃園市觀音區觀新路52號	03-4732005	107.08.27
85		楊梅區	桃園市楊梅親子館	桃園市楊梅區大模街10號3樓	03-4881920	107.11.20
86		桃園區	桃園市龍寶貝親子館	桃園市桃園區國豐二街6號	03-3605530	107.12.24
87		平鎮區	桃園市平鎮新勢親子館	桃園市平鎮區延平路一段168號	03-4029791	108.09.25
88		大溪區	桃園市大溪親子館	桃園市大溪區永昌路80號3樓	03-3809970	108.10.14
89		楊梅區	桃園市楊梅雙榮親子館	桃園市楊梅區民族路五段107巷63號	03-4904649	108.10.21
90		蘆竹區	桃園市蘆竹親子館	桃園市蘆竹區大新路26號1、2樓	03-3236116	108.12.31
91		八德區	桃園市八德興豐親子館	桃園市八德區興豐路287號3樓	03-3653184	109.07.02
92		龜山區	桃園市龜山大華親子館	桃園市龜山區文化七路118巷7號2樓	03-3270237	110.01.04
93		中壢區	桃園市中壢過嶺親子館	桃園市中壢區松勇二街61號4、5樓	03-4201320	110.01.26
94		龜山區	桃園市龜山親子館	桃園市龜山區自強南路97號2樓	03-3595251	110.05.30
95		中壢區	桃園市內壢親子館	桃園市中壢區文化二路219號1-2樓	03-4518321	111.03.17
96		中壢區	桃園市中壢龍福親子館	桃園市中壢區中山東路四段26號4樓	03-2830173	111.07.15
97		八德區	桃園市八德北青親子館	桃園市八德區福興里建德路358號三樓	03-3653605	112.01.01
98		平鎮區	桃園市平鎮一號親子館	桃園市平鎮區大興街66巷35號1樓	03-4396662	112.12.29
99		觀音區	桃園市觀音草漯親子館	桃園市觀音區莊敬路188號2樓	03-4831823	113.10.14
100		楊梅區	桃園市楊梅四維親子館	桃園市楊梅區四維二路108號3樓	03-4822207	113.12.24
101	臺中市	北區	臺中市北區親子館	臺中市民權路400號	04-22058580	92.08.10
102		豐原區	臺中市豐原親子館	臺中市豐原區圓環北路一段355號2樓	04-25280975	101.10.27
103		沙鹿區	臺中市沙鹿親子館	臺中市沙鹿區福幼街8號2樓	04-26363780	101.11.14
104		大里區	臺中市大里親子館	臺中市大里區新光路32號	04-2486 6520	102.04.01
105		大甲區	臺中市大甲親子館	臺中市大甲區水源路169號2樓	04-26869399	102.04.02
106		南屯區	臺中市南屯親子館	臺中市南屯區南屯路2段407號	04-23803141	106.08.08
107		太平區	臺中市坪林親子館	臺中市太平區中山路一段213號	04-23913251	107.10.09
108		石岡區	臺中市石岡親子館	臺中市石岡區和盛街13巷50號	04-25826736	108.12.18
109		太平區	臺中市太平親子館	臺中市太平區明德里德明路422號	04-22710140	109.06.12
110		和平區	臺中市和平親子館	臺中市和平區東崎路二段三叉巷8號	04-25911576	110.04.09
111		大雅區	臺中市大雅親子館	臺中市大雅區民生路一段196號	04-25694321	110.04.11
112		后里區	臺中市后里親子館	臺中市后里區文明路77號	04-25588660	110.11.19
113		新社區	臺中市新社親子館	臺中市新社區興社街四段57號2樓	04-25826098	112.09.27
114		烏日區	臺中市烏日親子館	臺中市烏日區三榮路一段127號2F	04-23360702	112.10.11
115		西屯區	臺中市西屯親子館	臺中市西屯區四川路126號2樓	04-23123203	113.01.19
116		潭子區	臺中市潭子親子館	臺中市潭子區中山路二段241巷1號	04-25349376	113.03.25
117		神岡區	臺中市神岡親子館	臺中市神岡區神圳路6-1號	04-25633293	113.05.03
118		清水區	臺中市清水親子館	臺中市清水區中社里42鄰鎮政路358號	04-26263809	114.10.07
119		霧峰區	臺中市霧峰親子館	臺中市霧峰區大同路16號	04-23305532	114.10.27
120		東勢區	臺中市東勢親子館	臺中市東勢區圓樓街1號	04-25880132	114.12.12
121		中區	臺中市中區親子館	臺中市中區臺灣大道一段456號	04-22295150	115.02.09
122		大肚區	臺中市大肚親子館	臺中市大肚區大德一街68號1樓	04-26990001	115.04.02
123		南區	臺中市南區親子館	臺中市南區高工路155號2樓	04-22612088	115.04.15
124		大安區	臺中市大安親子館	臺中市大安區中山南路345號	04-26714827	115.04.17
125		龍井區	臺中市龍井親子館	臺中市龍井區沙田路四段247號4樓	04-26365800	115.04.27
126		外埔區	臺中市外埔親子館	臺中市外埔區大同里六分路297號2 樓	04-26833381	115.05.04
127	臺南市	新市區	臺南市新市親子悠遊館	臺南市新市區富強路16巷1號4-5樓	06-5890050	102.03.28
128		安平區	臺南市安平親子悠遊館	臺南市安平區中華西路二段315號1樓	06-2984289	103.07.03
129		佳里區	臺南市佳里親子悠遊館	臺南市佳里區安北路116號2樓	06-7237320	105.10.06
130		仁德區	臺南市仁德親子悠遊館	臺南市仁德區德南路68號4樓	06-2706729	106.10.12
131		新營區	臺南市南瀛親子館	臺南市新營區中正路32號	06-6322725	106.07.01
132		善化區	臺南市善化親子悠遊館	臺南市善化區三民路6-6號2樓	06-5817521	107.11.07
133		東區	臺南市東區親子悠遊館	臺南市東區裕文路62號	06-3319126	107.11.20
134		麻豆區	臺南市麻豆親子悠遊館	臺南市麻豆區總榮里總爺庄32號之1(2樓)	06-2094059	107.12.12
135		歸仁區	臺南市歸仁親子悠遊館	臺南市歸仁區仁愛南街288號2樓	06-2300501	109.01.03
136		南區	臺南市南區親子悠遊館	臺南市南區三官路176巷5弄19號	06-2639967	109.11.04
137		鹽水區	臺南市鹽水區親子悠遊館	臺南市鹽水區三福路14號3樓	06-6525585	110.06.30
138		七股區	臺南市七股區親子悠遊館	臺南市七股區大埕里大埕380號2樓	06-7871008	111.10.26
139		北區	臺南市北區親子悠遊館	臺南市北區中華北路一段488號3 樓	06-3585915	114.11.27
140	高雄市	前鎮區	高雄市前鎮草衙親子館	高雄市前鎮區信義里同安路120號	07-8127225	101.04.02
141		三民區	高雄市三民兒福親子館	高雄市三民區九如一路775號	07-3958366	101.10.14
142		三民區	高雄市三民陽明親子館	高雄市三民區陽明路300號2樓	07-3801856	102.02.01
143		前鎮區	高雄市前鎮竹西親子館	高雄市前鎮區廣東三街73號2樓	07-7161625	102.08.01
144		仁武區	高雄市仁武親子館	高雄市仁武區中正路94號3樓	07-3721884	102.12.22
145		前鎮區	高雄市前鎮愛群親子館	高雄市前鎮區二聖二路194號	07-3311470	103.01.06
146		大寮區	高雄市大寮親子館	高雄市大寮區鳳林三路315-22號2樓	07-7828330	103.01.10
147		小港區	高雄市小港親子館	高雄市小港區康莊路80號2樓	07-8055828	103.02.27
148		岡山區	高雄市岡山親子館	高雄市岡山區河堤路二段122號	07-6298550	103.07.19
149		林園區	高雄市林園親子館	高雄市林園區林園北路191號2樓	07-6421938	103.12.15
150		路竹區	高雄市路竹親子館	高雄市路竹區中正路51號2F	07-6071101	104.05.21
151		前金區	高雄市前金親子館	高雄市前金區中正四路261號2樓	07-2153998	104.02.06
152		旗山區	高雄市旗山親子館	高雄市旗山區中正路199號1樓	07-6625016	104.12.18
153		楠梓區	高雄市楠梓親子館	高雄市楠梓區後昌路960巷19號3樓	07-3640791	105.07.14
154	高雄市	彌陀區	高雄市彌陀親子館	高雄市彌陀區中華路1巷5弄2號	07-6106837	105.05.25
155		左營區	高雄市左營富民親子館	高雄市左營區富民路435號2樓	07-5566105	106.11.08
156		大樹區	高雄市大樹親子館	高雄市大樹區久堂路128號1樓	07-6525569	107.12.19
157		美濃區	高雄市美濃親子館	高雄市美濃區中正路二段351號	07-6819456	108.10.03
158		旗津區	高雄市旗津親子館	高雄市旗津區旗津三路900巷1弄33號	07-5711191	110.02.05
159		桃源區	高雄市桃源親子館	高雄市桃源區南進巷180-10號3樓	07-6861280	110.04.01
160		那瑪夏區	高雄市那瑪夏親子館	高雄市那瑪夏區達卡努瓦里大光巷236號	07-6701708	110.12.28
161		杉林區	高雄市杉林親子館	高雄市杉林區大愛路47號	07-6775554	113.05.18
162		大社區	高雄市大社親子館	高雄市大社區金龍路65號3樓	07-3541509	113.07.19
163		鼓山區	高雄市鼓山親子館	高雄市鼓山區鼓山三路4號	07-5884210	114.08.22
164	宜蘭縣	宜蘭市	宜蘭縣0-6歲教玩具外借資源中心	宜蘭市神農里民權路1段65號3樓	03-9353718	102.12.14
165		蘇澳鎮	宜蘭縣蘇澳親子館	宜蘭縣蘇澳鎮隘丁里隘丁路36號	03-9906316	104.01.31
166		宜蘭市	宜蘭縣熊讚親子館	宜蘭市中山路2段462號3樓	03-9333030	107.10.30
167		壯圍鄉	宜蘭縣壯圍親子館	宜蘭縣壯圍鄉古亭路81號	03-9301669	108.04.03
168		礁溪鄉	宜蘭縣礁溪親子館	宜蘭縣礁溪鄉龍潭村育龍路 71 號	03-9283206	109.06.01
169		員山鄉	宜蘭縣員山親子館	宜蘭縣員山鄉新城路84號	03-9221810	109.06.01
170		冬山鄉	宜蘭縣冬山親子館	宜蘭縣冬山鄉安中路35號	03-9595592	109.06.02
171		頭城鎮	宜蘭縣頭城親子館	宜蘭縣頭城鎮復興路145號	03-9770588	109.06.02
172		三星鄉	宜蘭縣三星親子館	宜蘭縣三星鄉月眉街54號	03-9895766	109.06.02
173		五結鄉	宜蘭縣五結親子館	宜蘭縣五結鄉五結中路一段500號	03-9509968	110.02.05
174		羅東鎮	宜蘭縣羅東親子館	宜蘭縣羅東鎮公正路199號	03-9550397	110.04.09
175		南澳鄉	宜蘭縣南澳親子館	宜蘭縣南澳鄉中正路52號	03-9981138	111.01.05
176		大同鄉	宜蘭縣大同親子館	宜蘭縣大同鄉泰雅路五段70號	03-9229275	111.01.10
177		羅東鎮	羅東鎮托嬰暨托育資源中心	宜蘭縣羅東鎮南門路11巷28號	03-9530260	115.02.11
178	新竹縣	竹北市	新竹縣托育資源中心	新竹縣竹北市縣政二路620號1樓	03-6570620	102.06.17
179		竹北市	新竹縣親子夢想館	新竹縣竹北市光明二街91號2樓	03-5551291	112.08.01
180	苗栗縣	竹南鎮	北區托育資源中心	苗栗縣竹南鎮公義路936號	037-582581	104.08.13
181		頭份市	頭份親子館	苗栗縣頭份市合興街32號	037-681733	113.03.30
182		苑裡鎮	通苑區托育資源中心	苗栗縣苑裡鎮公民街3號	037-860039	115.04.18
183	彰化縣	員林市	彰化縣員林托育資源中心	彰化縣員林市員鹿路245巷111號3樓	04-8363628	114.09.24
184		彰化市	彰化縣彰化育兒親子館	彰化縣彰化市介壽北路108巷8號6 樓	04 -7517126	115.01.16
185		鹿港鎮	彰化縣鹿港育兒親子館	彰化縣鹿港鎮正興路66號2、3樓	04-7775758	107.12.01
186		二林鎮	彰化縣二林育兒親子館	彰化縣二林鎮明德街249號	04-8951388	108.12.25
187		和美鎮	彰化縣和美育兒親子館	彰化縣和美鎮惠來五街45號2樓	04-7563866	111.12.27
188		社頭鄉	彰化縣社頭育兒親子館	彰化縣社頭鄉民生路371號3樓	04-8725125	112.04.24
189		芳苑鄉	彰化縣芳苑育兒親子館	彰化縣芳苑鄉斗苑路芳苑段210巷8號3樓	04-8981289	113.06.21
190		竹塘鄉	彰化縣竹塘育兒親子館	彰化縣竹塘鄉竹林路一段306號3樓	04-8970399	114.02.21
191		大城鄉	彰化縣大城育兒親子館	彰化縣大城鄉大城村中平路232號3樓	04-8941799	114.05.27
192		北斗鄉	彰化縣北斗育兒親子館	彰化縣北斗鎮復興路270號5 樓	04-8837469	114.09.30
193	南投縣	南投市	南投縣托育資源中心	南投縣南投市南崗二路87號1樓	049-2247511	105.04.02
194		埔里鎮	南投縣埔里區親子館	南投縣埔里鎮育英街20號	049-242 1949	110.12.25
195		竹山鎮	南投縣竹山區親子館	南投縣竹山鎮鯉南路19之18號	049-2630180	110.12.26
196	雲林縣	西螺鎮	雲林縣西螺親子館	雲林縣西螺鎮中山路227號2樓(兒福館2樓)	05-5870520	101.12.27
197		北港鎮	雲林縣北港親子館	雲林縣北港鎮文化路246號3樓	05-5870520	107.10.20
198		虎尾鎮	雲林縣虎尾親子館	雲林縣虎尾鎮光明路70號	05-6321913	110.12.10
199		斗南鎮	雲林縣斗南親子館	雲林縣斗南鎮莒光街30號	05-5977659	110.12.20
200		斗六市	雲林縣斗六親子館	雲林縣斗六市府前街58號	05-5361566	110.12.24
201		麥寮鄉	雲林縣麥寮親子館	雲林縣麥寮鄉後安222-39號	05-6939112	112.02.18
202	嘉義縣	朴子市	嘉義縣朴子親子館	嘉義縣朴子市山通路7號	05-3707042	108.12.30
203		民雄鄉	嘉義縣民雄親子館	嘉義縣民雄鄉西安路155號(嘉義縣綜合社會福利館)	05-2266335	113.01.09
204	屏東縣	屏東市	屏東托育資源中心	屏東市華正路95號108室(社福館1樓)	08-7362972	101.07.01
205		潮州鎮	潮州托育資源中心	屏東縣潮州鎮光春路292號(潮州多元社福園區)	08-7889918	106.04.23
206		九如鄉	九如托育資源中心	屏東縣九如鄉九如路二段266號3樓	08-7396011#30	109.08.26
207	屏東縣	恆春鎮	恆春托育資源中心	屏東縣恆春鎮文化路33號1樓	08-8891233#113	111.12.12
208		內埔鄉	內埔托育資源中心	屏東縣內埔鄉學人路627號2樓	08-7781393	112.11.01
209	臺東縣	臺東市	臺東縣托育資源中心(臺東站)	臺東市更生北路69號3樓	089-236541	114.07.01
210		成功鎮	臺東縣托育資源中心(成功站)	臺東縣成功鎮三民路18號1樓(三民國小)	089-854822	103.07.01
211		大武鄉	臺東縣托育資源中心(大武站)	臺東縣大武鄉大武街21巷1號2樓	089-790341	104.09.14
212		關山鎮	臺東縣托育資源中心(關山站)	臺東縣關山鎮中華路二十一號	089-810277	105.12.04
213	花蓮縣	花蓮市	洄瀾親子館─花蓮縣托育資源中心	花蓮縣花蓮市文苑路12號4樓	038-234370	102.07.19
214		玉里鎮	玉里鎮托育資源中心	花蓮縣玉里鎮莊敬路8號2樓	038-886675	109.07.01
215		豐濱鄉	豐濱鄉托育資源中心	花蓮縣豐濱鄉豐濱村民權街63號	038-791528	109.11.02
216		光復鄉	光復鄉托育資源中心	花蓮縣光復鄉糖廠街18號	03-8701939	112.10.20
217	澎湖縣	馬公市	澎湖縣托育資源中心	澎湖縣馬公市貿商街60號2樓(兒少福利中心)	06-9265596	101.07.14
218	基隆市	安樂區	基隆市安樂托育資源中心	基隆市麥金路482號3樓	02-34010672	102.05.25
219		七堵區	基隆市七堵托育資源中心	基隆市七堵區自治街15號2樓(家庭服務中心2F)	02-24564366	104.04.07
220		中山區	基隆市西定托育資源中心	基隆市中山區西定路230號2樓	02-24213313	105.01.01
221		暖暖區	基隆市暖暖托育資源中心	基隆市暖暖區暖暖街350號1樓	02-24590206	105.12.17
222		仁愛區	基隆市仁愛托育資源中心	基隆市仁愛區光一路28號5樓	02-24319096	106.12.29
223		中正區	基隆市中正托育資源中心(基隆祖孫館)	基隆市中正區調和街3號2樓	02-24696899	107.06.21
224		信義區	基隆市信義托育資源中心	基隆市信義區東信路282-2號2樓	02-24685368	112.10.24
225	新竹市	東區	新竹市東區托育資源中心暨親子館	新竹市中央路241號3樓	03-5330761	104.04.04
226		香山區	新竹市香山區托育資源中心暨親子館	新竹市育德街188號1樓	03-5301268	107.08.19
227		北區	新竹市北區托育資源中心暨親子館	新竹市南勢六街11號2樓	03-5230866	109.01.20
228	嘉義市	東區	嘉義市托育資源中心(東區)	嘉義市興業東路555號2樓(兒童福利服務中心2樓)	05-2225212	101.12.01
229		西區	嘉義市托育資源中心(西區)	嘉義市德安路6號(婦女福利服務中心5F)	05-2338170	104.03.23
230	金門縣	金湖鎮	金門縣托育資源中心(蘭湖館)	金門縣金湖鎮瓊徑路35號1樓	082-337733	105.06.01
231		金湖鎮	金湖托育資源中心(醫遊館)	金門縣金湖鎮林森路2-7號	082-336029	110.11.14
232		烈嶼鄉	烈嶼托育資源中心(生態館)	金門縣烈嶼鄉西口村西方76號2樓	082-362172	111.11.13
233	連江縣	東引鄉	連江縣東引鄉公共托育中心	連江縣東引鄉中柳村94-2號	0836-76520	104.12.10
234		南竿鄉	連江縣托育資源中心	連江縣南竿鄉介壽村353之5號	0836-23238	113.09.05
